"power","x","Methods"
"1",0.0444777611194403,0,"Ku"
"2",0.0529735132433783,0,"K5"
"3",0.0524737631184408,0,"Kw"
"4",0.0484757621189405,0,"Kopt"
"5",0.0504747626186907,0,"MiSPUw2"
"6",0.0524737631184408,0,"MiSPUwinf"
"7",0.0489755122438781,0,"aMiSPUw"
"8",0.0519740129935032,0,"aMiSPUu"
"9",0.0524737631184408,0,"aMiSPU"
"10",0.0559440559440559,0.25,"Ku"
"11",0.112887112887113,0.25,"K5"
"12",0.118881118881119,0.25,"Kw"
"13",0.0889110889110889,0.25,"Kopt"
"14",0.167832167832168,0.25,"MiSPUw2"
"15",0.224775224775225,0.25,"MiSPUwinf"
"16",0.207792207792208,0.25,"aMiSPUw"
"17",0.0589410589410589,0.25,"aMiSPUu"
"18",0.16983016983017,0.25,"aMiSPU"
"19",0.0659340659340659,0.5,"Ku"
"20",0.374625374625375,0.5,"K5"
"21",0.412587412587413,0.5,"Kw"
"22",0.298701298701299,0.5,"Kopt"
"23",0.548451548451548,0.5,"MiSPUw2"
"24",0.67032967032967,0.5,"MiSPUwinf"
"25",0.661338661338661,0.5,"aMiSPUw"
"26",0.0809190809190809,0.5,"aMiSPUu"
"27",0.574425574425574,0.5,"aMiSPU"
"28",0.104895104895105,0.75,"Ku"
"29",0.743256743256743,0.75,"K5"
"30",0.774225774225774,0.75,"Kw"
"31",0.644355644355644,0.75,"Kopt"
"32",0.892107892107892,0.75,"MiSPUw2"
"33",0.927072927072927,0.75,"MiSPUwinf"
"34",0.928071928071928,0.75,"aMiSPUw"
"35",0.131868131868132,0.75,"aMiSPUu"
"36",0.892107892107892,0.75,"aMiSPU"
"37",0.150849150849151,1,"Ku"
"38",0.927072927072927,1,"K5"
"39",0.944055944055944,1,"Kw"
"40",0.874125874125874,1,"Kopt"
"41",0.971028971028971,1,"MiSPUw2"
"42",0.965034965034965,1,"MiSPUwinf"
"43",0.973026973026973,1,"aMiSPUw"
"44",0.146853146853147,1,"aMiSPUu"
"45",0.957042957042957,1,"aMiSPU"
"46",0.16983016983017,1.25,"Ku"
"47",0.982017982017982,1.25,"K5"
"48",0.986013986013986,1.25,"Kw"
"49",0.965034965034965,1.25,"Kopt"
"50",0.992007992007992,1.25,"MiSPUw2"
"51",0.991008991008991,1.25,"MiSPUwinf"
"52",0.995004995004995,1.25,"aMiSPUw"
"53",0.196803196803197,1.25,"aMiSPUu"
"54",0.989010989010989,1.25,"aMiSPU"
"55",0.167832167832168,1.5,"Ku"
"56",0.996003996003996,1.5,"K5"
"57",0.993006993006993,1.5,"Kw"
"58",0.988011988011988,1.5,"Kopt"
"59",0.995004995004995,1.5,"MiSPUw2"
"60",0.996003996003996,1.5,"MiSPUwinf"
"61",0.997002997002997,1.5,"aMiSPUw"
"62",0.197802197802198,1.5,"aMiSPUu"
"63",0.997002997002997,1.5,"aMiSPU"
